a52dec 0.8.0-2
qt5-x11extras 5.15.11-1
qt6-base 6.6.1-1
qt6-declarative 6.6.1-1
qt6-svg 6.6.1-1
qt6-translations 6.6.1-1
quazip-qt5 1.4-1
rapidjson 1.1.0-5
raptor 2.0.16-3
rasqal 1:0.9.33-6
rav1e 0.6.6-3
re2 1:20231101-1
readline 8.2.007-1
redland 1:1.0.17-8
rhash 1.4.4-1
ripgrep 14.0.3-1
rnnoise 0.4.1-1
rtkit 0.13-2
rust-analyzer 20231204-1
rustup 1.26.0-5
sbc 2.0-1
scons 4.6.0-1
sdl2 2.28.5-1
seatd 0.8.0-1
sed 4.9-3
serd 0.32.0-1
shaderc 2023.7-2
shadow 4.14.2-1
shared-mime-info 2.4-1
shiboken6 6.6.1-1
snappy 1.1.10-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-5
soundcloud-dl-git v2.7.3.r0.g4276511-1
soundtouch 2.3.2-1
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2023.5-1
sqlite 3.44.2-2
sratom 0.6.16-1
srt 1.5.3-1
steam 1.0.0.78-2
sudo 1.9.15.p2-1
suil 0.10.20-1
svt-av1 1.7.0-1
systemd 254.6-2
systemd-libs 254.6-2
systemd-sysvcompat 254.6-2
taglib 1.13.1-1
tar 1.35-2
tdb 1.4.9-1
texinfo 7.1-2
thin-provisioning-tools 1.0.7-1
tinyxml 2.6.2-10
tpm2-tss 4.0.1-1
tracker3 3.6.0-1
tslib 1.22-1
ttf-apple-emoji 16.4-1
ttf-firacode-nerd 3.1.1-1
ttf-liberation 2.1.5-1
twolame 0.4.0-3
typescript 5.3.2-1
typescript-language-server 4.1.3-1
tzdata 2023c-2
udisks2 2.10.1-2
unzip 6.0-20
usbutils 017-1
usd 23.11-3
util-linux 2.39.2-2
util-linux-libs 2.39.2-2
v4l-utils 1.26.0-1
vamp-plugin-sdk 2.10.0-2
vid.stab 1.1.1-1
vlc 3.0.20-2
vmaf 2.3.1-1
volume_key 0.3.12-8
vscode-html-languageserver 1.84.0-1
vscodium-bin 1.83.1.23285-1
vulkan-headers 1:1.3.269-1
vulkan-icd-loader 1.3.269-1
wavpack 5.6.0-1
wayland 1.22.0-1
wayland-protocols 1.32-1
webrtc-audio-processing-1 1.3-2
wget 1.21.4-1
which 2.21-6
wine 8.21-2
wireplumber 0.4.17-1
wlroots 0.17.0-1
wlroots0.16 0.16.2-2
woff2 1.0.2-4
wxwidgets-common 3.2.4-2
wxwidgets-gtk3 3.2.4-2
x264 3:0.164.r3108.31e19f9-1
x265 3.5-3
xcb-proto 1.16.0-1
xcb-util 0.4.1-1
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xdg-desktop-portal 1.18.2-1
xdg-user-dirs 0.18-1
xdg-utils 1.2.0r25+g0f49cf5-1
xf86-input-libinput 1.4.0-1
